IP,Categories,ReportDate,Comment
"27.191.237.67","18,22","Jul 20 14:10:44","Invalid user testsftp from 27.191.237.67 port 16880"
"106.12.207.236","18,22","Jul 20 14:14:50","Invalid user web from 106.12.207.236 port 33566"
"107.170.39.154","18,22","Jul 20 14:22:58","Invalid user cheryl from 107.170.39.154 port 36487"
"41.182.118.63","18,22","Jul 20 15:06:46","Invalid user admin1 from 41.182.118.63 port 59536"
"111.67.204.249","18,22","Jul 20 15:37:46","Invalid user jlopez from 111.67.204.249 port 59480"
"165.22.69.147","18,22","Jul 20 16:16:13","Invalid user felins from 165.22.69.147 port 50084"
"122.155.202.93","18,22","Jul 20 16:17:38","Invalid user lab2 from 122.155.202.93 port 41440"
"195.231.81.43","18,22","Jul 20 16:20:28","Invalid user celery from 195.231.81.43 port 58822"
"179.191.123.46","18,22","Jul 20 16:20:52","Invalid user lyne from 179.191.123.46 port 37236"
"119.57.162.18","18,22","Jul 20 16:25:26","Invalid user elmira from 119.57.162.18 port 18188"
"119.28.30.112","18,22","Jul 20 16:26:51","Invalid user vi from 119.28.30.112 port 47742"
"18.156.122.38","18,22","Jul 20 16:39:09","Invalid user bn from 18.156.122.38 port 52408"
"163.172.185.51","18,22","Jul 20 16:47:53","Invalid user vivian from 163.172.185.51 port 56968"
"51.77.215.18","18,22","Jul 20 16:48:38","Invalid user dna from 51.77.215.18 port 40686"
"158.69.192.35","18,22","Jul 20 16:53:18","Invalid user vftp from 158.69.192.35 port 35724"
"45.55.237.182","18,22","Jul 20 17:12:43","Invalid user admin from 45.55.237.182 port 60536"
"41.231.54.123","18,22","Jul 20 17:23:01","Invalid user inux from 41.231.54.123 port 36348"
"159.89.114.40","18,22","Jul 20 19:34:49","Invalid user linghui from 159.89.114.40 port 46838"
"51.222.12.106","18,22","Jul 20 19:42:38","Invalid user khalil from 51.222.12.106 port 36776"
"45.232.75.253","18,22","Jul 20 19:43:28","Invalid user shamim from 45.232.75.253 port 37698"
"31.209.21.17","18,22","Jul 20 19:43:47","Invalid user test from 31.209.21.17 port 47622"
"106.12.73.153","18,22","Jul 20 19:46:29","Invalid user roman from 106.12.73.153 port 35528"
"181.197.13.218","18,22","Jul 20 20:02:29","Invalid user hector from 181.197.13.218 port 36929"
"62.234.193.119","18,22","Jul 20 20:02:56","Invalid user v from 62.234.193.119 port 36962"
"114.250.246.165","18,22","Jul 20 20:03:55","Invalid user ubuntu from 114.250.246.165 port 21782"
